species,centroid_lon,centroid_lat
Oxyura leucocephala,90.493600014847,39.9367486496736
Sibirionetta formosa,116.070849383812,29.7904458653378
Gracupica nigricollis,109.561113071865,28.3596888720677
Hirundapus caudacutus,103.031709247497,35.2046414862726
Caprimulgus macrurus,102.391560305846,24.3360217071678
Hemiprocne coronata,106.846087408568,28.2861182640655
Brachyramphus perdix,123.952123127554,42.0389438747044
Charadrius atrifrons,94.5715601006362,34.9091683040137
Charadrius dealbatus,112.750289553773,23.8153930542495
Charadrius hiaticula,94.3706466364977,38.5398505950396
Charadrius mongolus,100.906638252399,36.3916238409171
Charadrius veredus,126.503982168551,46.1836274966835
Pluvialis apricaria,116.10797890559,39.517045306238
Glareola lactea,94.5951579598284,29.3928454117568
Hydrophasianus chirurgus,114.669555189586,35.7081037825284
Anous stolidus,116.817470268908,26.4221061308868
Chlidonias leucopterus,91.5852641060002,42.1187795447849
Chlidonias niger,97.7920631861007,38.3734853629608
Larus brunnicephalus,96.8031294159964,32.0197171009299
Larus genei,97.5778781882593,35.2218925356609
Gelochelidon nilotica,101.495304366617,35.3234567681927
Gygis alba,112.815080342145,22.3340139116534
Hydrocoloeus minutus,98.4167144640521,39.7069389052881
Hydroprogne caspia,103.908547786846,35.0966936363978
Larus ichthyaetus,95.0738246664799,35.6753381434723
Larus relictus,99.9880770454011,37.817726847497
Larus fuscus,95.7600045074015,34.345151222624
Larus glaucescens,121.005477874547,36.6985187013734
Larus hyperboreus,101.812625418596,35.8975581367998
Onychoprion aleuticus,116.505804895559,28.2170925259696
Onychoprion anaethetus,113.761292401642,24.6284212636411
Onychoprion fuscatus,115.816294087627,34.156957132397
Rissa tridactyla,104.063040421,36.4329259622137
Thalasseus bengalensis,116.203072417695,29.0622119415673
Thalasseus bergii,120.098919260137,29.1817600115059
Recurvirostra avosetta,88.5581841305189,31.5582032448636
Calidris acuminata,100.62165161429,39.9613362534928
Calidris alba,120.973371588975,23.7519935426755
Calidris alpina,97.1696001845122,37.5115360188936
Calidris falcinellus,100.792831423459,40.3985147029781
Calidris melanotos,100.792474092392,35.9961455100276
Calidris minuta,101.044331360854,35.8314808839813
Calidris pugnax,98.677197903998,35.1374751259908
Calidris pygmaea,,
Calidris subminuta,101.226927242505,34.1460984811193
Calidris tenuirostris,115.996047538215,31.9334232570082
Limnodromus scolopaceus,100.458244389844,38.3501077710032
Limnodromus semipalmatus,103.278786390228,38.7126971070547
Limosa lapponica,103.125158043513,38.0242976398462
Limosa limosa,120.973371588975,23.7519935426755
Numenius madagascariensis,116.580517741968,39.9772369085206
Numenius minutus,95.2942548396781,38.3215953978633
Numenius phaeopus,101.49400402436,24.9754203509886
Phalaropus fulicarius,97.6881980503185,39.5434198048299
Phalaropus lobatus,101.62391971963,35.5727902200889
Tringa brevipes,115.242267121651,20.7784530744411
Tringa guttifer,,
Stercorarius parasiticus,97.6458917677323,35.0230537795515
Stercorarius pomarinus,107.194420070469,32.5022279061987
Turnix suscitator,110.230051154301,25.6502972842435
Anastomus oscitans,106.317834091094,30.5457559056026
Ciconia boyciana,118.197743999711,37.0894634154541
Ciconia nigra,108.303741095238,38.1754050492318
Leptoptilos javanicus,106.268732973994,25.997864841374
Chalcophaps indica,108.654373591216,26.9093070211582
Columba oenas,,
Geopelia striata,120.973371588975,23.7519935426755
Macropygia unchall,107.644555837383,27.9013884310448
Spilopelia chinensis,,
Spilopelia senegalensis,,
Streptopelia decaocto,101.078076599286,39.7582572662944
Treron curvirostra,104.68979212019,24.1996594492477
Treron sieboldii,118.639452570133,29.2277888320671
Treron sphenurus,97.1590528213344,29.918501220134
Alcedo hercules,92.382915387529,29.8534304410039
Ceryle rudis,111.020502715836,28.1665699385923
Halcyon coromanda,109.273284305742,31.3202094581847
Halcyon smyrnensis,110.431213995394,26.5878740894106
Megaceryle lugubris,98.2970930305829,43.588367554417
Todiramphus chloris,,
Coracias garrulus,88.5581841305189,31.5582032448636
Merops philippinus,108.459958400917,24.4002639857161
Cacomantis merulinus,101.594915832523,28.9746442087247
Centropus bengalensis,111.185361802007,28.1803772837218
Clamator coromandus,97.7328331067305,32.6703765373133
Clamator jacobinus,,
Eudynamys scolopaceus,105.203044020299,31.7273748455161
Hierococcyx nisicolor,109.239911902221,27.6383895191864
Falco cherrug,91.3194229068475,36.3611757808119
Falco severus,104.68979212019,24.1996594492477
Chrysolophus pictus,103.826614251193,31.8319225161071
Crossoptilon mantchuricum,110.552837083709,36.3788781710745
Lophura nycthemera,114.895168004105,28.7255175046209
Perdix hodgsoniae,91.3194229068475,36.3611757808119
Syrmaticus reevesii,106.584848110395,32.2670816096185
Gavia adamsii,108.780145574058,32.2752009763089
Gavia arctica,101.1636910628,38.4328455486682
Gavia pacifica,122.442960324564,42.2833264809443
Gavia stellata,,
Grus canadensis,121.926031172961,40.7013765659621
Grus vipio,105.210896861436,39.4316770118868
Grus japonensis,110.172847510256,28.850182122904
Grus monacha,127.382193934577,46.5438823268767
Grus nigricollis,92.8017882291022,35.2249024156133
Anthropoides virgo,99.0985049469097,36.9716555277682
Leucogeranus leucogeranus,118.918245927385,37.4889359030159
Amaurornis phoenicurus,105.826167403891,32.2407841721546
Coturnicops exquisitus,110.866888469277,31.4536391356319
Crex crex,86.6170262806194,37.0301081755345
Gallicrex cinerea,110.525555262605,31.9926958151423
Amaurornis cinerea,105.605050998318,28.2827921990085
Porphyrio porphyrio,106.537497573045,27.7530939170755
