species,order,direction
Turdus naumanni,Passeriformes,Southeast
Phylloscopus maculipennis,Passeriformes,East
Prinia rufescens,Passeriformes,Northeast
Anthus pratensis,Passeriformes,East
Phylloscopus valentini,Passeriformes,East
Prunella montanella,Passeriformes,South
Pastor roseus,Passeriformes,East
Pyrrhula pyrrhula,Passeriformes,Southeast
Acridotheres tristis,Passeriformes,Northeast
Agropsar philippensis,Passeriformes,West
Eremophila alpestris,Passeriformes,East
Phylloscopus humei,Passeriformes,East
Ardeola speciosa,Pelecaniformes,North
Gorsachius goisagi,Pelecaniformes,Southwest
Egretta picata,Pelecaniformes,North
