"record_id","species","order_raw","order_cn","province_cn","province_en_raw","year","discover_cause_raw","discovery_method_raw","longitude","latitude","order","province","discover_reason"
366,"Chrysolophus pictus","GALLIFORMES","鸡形目","山西省","Shanxi",2007,"分布变化","观察，标本采集",111.316666666667,34.9666666666667,"Galliformes","Shanxi","Range shift or distribution change"
367,"Chrysolophus pictus","GALLIFORMES","鸡形目","四川省","Sichuan",2007,"分布变化，调查不足","标本采集",111.316666666667,34.9666666666667,"Galliformes","Sichuan","Mixed: range change + survey/technology"
408,"Amaurornis phoenicurus","GRUIFORMES","鹤形目","吉林省","Jilin",2007,"分布变化","捡到尸体",122.335972222222,45.0195,"Gruiformes","Jilin","Range shift or distribution change"
470,"Cisticola exilis","PASSERIFORMES","雀形目","海南省","Hainan",2007,"分布变化，调查不足","观察",109.106039183255,19.0094632635263,"Passeriformes","Hainan","Mixed: range change + survey/technology"
764,"Phylloscopus collybita","PASSERIFORMES","雀形目","河南省","Henan",2007,"分布变化","环志时捕获",114.283333333333,32.1,"Passeriformes","Henan","Range shift or distribution change"
660,"Larvivora cyane","PASSERIFORMES","雀形目","湖南省","Hunan",2007,"分布变化","标本采集，防鸟网上捡到尸体",113.21,28.2,"Passeriformes","Hunan","Range shift or distribution change"
435,"Aegithalos bonvaloti","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"分布变化","观察，雾网捕获，标本采集",107.75,34.16,"Passeriformes","Shaanxi","Range shift or distribution change"
597,"Anthus godlewskii","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"分布变化","观察",107.98,33.53,"Passeriformes","Shaanxi","Range shift or distribution change"
637,"Ficedula hyperythra","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"分布变化","观察",107.98,33.53,"Passeriformes","Shaanxi","Range shift or distribution change"
662,"Monticola rufiventris","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"分布变化","观察",107.76,33.6,"Passeriformes","Shaanxi","Range shift or distribution change"
811,"Prunella immaculata","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"分布变化","标本采集",107.766666666667,33.9166666666667,"Passeriformes","Shaanxi","Range shift or distribution change"
919,"Turdus boulboul","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"分布变化","观察",107.98,33.53,"Passeriformes","Shaanxi","Range shift or distribution change"
957,"Yuhina nigrimenta","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"分布变化","观察",107.25,32.55,"Passeriformes","Shaanxi","Range shift or distribution change"
943,"Zoothera mollissima","PASSERIFORMES","雀形目","陕西省","Shaanxi",2007,"分布变化","观察",107.891657287872,34.1039140027229,"Passeriformes","Shaanxi","Range shift or distribution change"
807,"Pitta sordida","PASSERIFORMES","雀形目","四川省","Sichuan",2007,"分布变化","标本采集",102.98,31.5,"Passeriformes","Sichuan","Range shift or distribution change"
715,"Suthora przewalskii","PASSERIFORMES","雀形目","四川省","Sichuan",2007,"分布变化","观察拍摄",104.76222,32.579169,"Passeriformes","Sichuan","Range shift or distribution change"
583,"Pterorhinus gularis","PASSERIFORMES","雀形目","云南省","Yunnan",2007,"分布变化","观察拍摄",101.51,22.48,"Passeriformes","Yunnan","Range shift or distribution change"
945,"Zoothera monticola","PASSERIFORMES","雀形目","云南省","Yunnan",2007,"分布变化","观察拍摄",97.8333333333333,24.0166666666667,"Passeriformes","Yunnan","Range shift or distribution change"
1033,"Podiceps nigricollis","PODICIPEDIFORMES","䴙䴘目","陕西省","Shaanxi",2007,"分布变化","观察",106.9,32.95,"Podicipediformes","Shaanxi","Range shift or distribution change"
10,"Accipiter trivirgatus","ACCIPITRIFORMES","鹰形目","河南省","Henan",2008,"分布变化","发现巢址，观察拍摄",114.249433333333,31.9506333333333,"Accipitriformes","Henan","Range shift or distribution change"
101,"Clangula hyemalis","ANSERIFORMES","雁形目","甘肃省","Gansu",2008,"分布变化","观察和拍摄",40.15,40.15,"Anseriformes","Gansu","Range shift or distribution change"
